what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245350008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245351570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245353112
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245354031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245355341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245361308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245364868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245403315
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1348245422743
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1348245422768
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1348245422890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245423690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245423918
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245427105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245429878
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1348245434616
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1348245434634
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1348245435589
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1348245435644
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1348245435717
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1348245435767
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1348245435769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348245435772
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1348245436979
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1348245437654
